legacy,legacyPath,legacySize,legacyMD5,status,newPath,reason
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\monitor\online.ts","356","25a40d38b838bdfaa5246749873e9658","缺失","","stem 无匹配 (online / online)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\official\contact.ts","828","c73eb9504f0ed36855bf3f3a5989f825","已迁移(重写)","g:\IHUI-AI\apps\miniapp-taro\src\pages\about\contact.css","stem+大小相近(0.62x: contact)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\official\news.ts","798","2c6c60a73cfb9221fa52eba8f85db4cd","部分迁移","g:\IHUI-AI\apps\api\src\routes\news.ts | g:\IHUI-AI\apps\web\public\mock-data\news.json | g:\IHUI-AI\packages\database\src\schema\news.ts","stem 匹配但大小差异大(3 个候选: news)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\official\storage.ts","903","96b2ae3295a3b0ca1e9dbb7b2a5aedbd","缺失","","stem 无匹配 (storage / storage)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\official\us.ts","778","0a67e3ccb8c67b362298eadb9f2c9a36","缺失","","stem 无匹配 (us / us)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\system\config.ts","1281","84ffc9942e6d0a0818a78697974baaf6","部分迁移","g:\IHUI-AI\apps\ai-service\app\core\config.py | g:\IHUI-AI\apps\extension\lib\config.ts | g:\IHUI-AI\apps\mobile-rn\src\lib\config.ts","stem 匹配但大小差异大(4 个候选: config)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\system\dept.ts","1220","e217dc231eb7c267c5153d099f2ebad7","缺失","","stem 无匹配 (dept / dept)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\system\dict\data.ts","1032","b7f1b1b6508ac34d4351bd5289604435","缺失","","stem 无匹配 (data / data)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\system\dict\type.ts","1271","dc6c85755f19e02c961482aeec3ee06f","缺失","","stem 无匹配 (type / type)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\system\logininfor.ts","699","59026584a191719ccefe391b71eaa7fe","缺失","","stem 无匹配 (logininfor / logininfor)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\system\menu.ts","1387","5c3aeed6c74d021730ec0066e8115a9e","缺失","","stem 无匹配 (menu / menu)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\system\notice.ts","812","8dc99d16d067ea18380862aa2ef62a99","缺失","","stem 无匹配 (notice / notice)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\system\operlog.ts","508","9c68d428a0a1e1827ca967843e481f39","缺失","","stem 无匹配 (operlog / operlog)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\system\post.ts","784","64272c218f92f096f65618c62222e412","缺失","","stem 无匹配 (post / post)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\system\role.ts","3252","60579905de42ee45ae8658e16069ab8c","缺失","","stem 无匹配 (role / role)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\system\user.ts","3299","62d706a54b69e85fc0d7ee5a3a7ef295","已迁移(重写)","g:\IHUI-AI\apps\web\e2e\.auth\user.json","stem+大小相近(0.75x: user)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\tool\gen.ts","1470","de30560f80d12172a84fec236627198c","缺失","","stem 无匹配 (gen / gen)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\unified-login.ts","10083","4cb3c42fa8ad6d3c47d96f94340cbe03","缺失","","stem 无匹配 (unified-login / unified-login)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\App.vue","1541","c894209f4646e46ff51e2995adc7f3f6","已迁移(重写)","g:\IHUI-AI\apps\mobile-rn\App.tsx","stem+大小相近(0.62x: App)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\icons\index.ts","784","a32397780fb0bb22f523937601f5acab","已迁移(重写)","g:\IHUI-AI\apps\api\src\db\index.ts","stem+大小相近(1.93x: index)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\icons\svgo.yml","270","fffea809fa18f9ff845d42ec4d139c32","缺失","","stem 无匹配 (svgo / svgo)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\btn.scss","1224","429febde9aba37195c1aa44f26cc7646","缺失","","stem 无匹配 (btn / btn)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\checkbox.scss","5983","05355ef802f5d54bd29e9d0790f1177e","部分迁移","g:\IHUI-AI\packages\ui\src\components\checkbox.tsx | g:\IHUI-AI\apps\web\src\components\form\Checkbox.tsx","stem 匹配但大小差异大(2 个候选: checkbox)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\element-ui.scss","20890","d3edcfb6e7cc6c4e7a7a1a6f5d279260","缺失","","stem 无匹配 (element-ui / element-ui)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\element-variables.scss","816","296cd2f1562ec631c4e66a066dad8ca2","缺失","","stem 无匹配 (element-variables / element-variables)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\fonts-unified.scss","7252","b491483f95e54a88ca8730daa0343e06","缺失","","stem 无匹配 (fonts-unified / fonts-unified)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\hover-background-layer.scss","41329","9d2cadbef46de0c5622dd1d941351b53","缺失","","stem 无匹配 (hover-background-layer / hover-background-layer)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\ICON_STYLE_GUIDE.md","3975","38a937565f70686c14cc26249319535f","缺失","","stem 无匹配 (ICON_STYLE_GUIDE / icon_style_guide)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\index.scss","22787","3872eb713bca74089113c87cf24f1d2b","已迁移(重写)","g:\IHUI-AI\apps\cli\src\hooks\index.ts","stem+大小相近(0.76x: index)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\mixin.scss","1425","7decc0a2e6fba62536afa0cbbb290dd0","缺失","","stem 无匹配 (mixin / mixin)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\ruoyi.scss","4583","f4de2742dd4794df316fae775d8736d7","缺失","","stem 无匹配 (ruoyi / ruoyi)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\sidebar.scss","76690","cc8f488cfc620cded99a81f10ddc9082","已迁移(重写)","g:\IHUI-AI\apps\web\src\components\sidebar.tsx","stem+大小相近(0.70x: sidebar)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\theme-additional.scss","2224","043259fab37dfb96b49d9c0141a8a31e","缺失","","stem 无匹配 (theme-additional / theme-additional)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\theme.scss","107757","a0f6637a0c6015392795399bc2857ecf","部分迁移","g:\IHUI-AI\apps\miniapp-taro\src\pages\setting\theme.css | g:\IHUI-AI\apps\miniapp-taro\src\pages\setting\theme.tsx | g:\IHUI-AI\apps\web\src\stores\theme.ts","stem 匹配但大小差异大(3 个候选: theme)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\transition.scss","786","8b932afc54bdda0965d6fe6611b90377","缺失","","stem 无匹配 (transition / transition)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\assets\styles\variables.scss","1508","65851444ba66c6d48f2686401e269652","缺失","","stem 无匹配 (variables / variables)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\auto-imports.d.ts","4478","5cf6478ddc7b2f46003ec00f9ac131ba","缺失","","stem 无匹配 (auto-imports.d / auto-imports.d)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\components\Breadcrumb\index.vue","3665","38de245fe1e23fb15f7ad011027895c0","已迁移(重写)","g:\IHUI-AI\apps\api\src\config\index.ts","stem+大小相近(0.92x: index)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\components\Crontab\day.vue","4931","79badaa0e0887d158813c3584211a5c1","缺失","","stem 无匹配 (day / day)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\components\Crontab\hour.vue","3829","af83c73e0ac32b4df5efe20f43720292","缺失","","stem 无匹配 (hour / hour)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\components\Crontab\index.vue","12043","f5d37837c76c3dd9ba070561d0c71f94","已迁移(重写)","g:\IHUI-AI\apps\cli\src\announcements\index.ts","stem+大小相近(0.92x: index)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\components\Crontab\min.vue","3680","c1f919daffb002217172217e12c93453","缺失","","stem 无匹配 (min / min)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\components\Crontab\month.vue","3581","cfaf8acd3c6aaa2ca7430498caa23739","缺失","","stem 无匹配 (month / month)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\components\Crontab\result.vue","21695","7d61f7498870d06596b098fe110b2cd6","部分迁移","g:\IHUI-AI\apps\miniapp-taro\src\pages\exam\result.tsx | g:\IHUI-AI\apps\miniapp-taro\src\pages\pay\result.tsx","stem 匹配但大小差异大(2 个候选: result)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\components\Crontab\second.vue","3744","468a7797307118346c849428f8132095","缺失","","stem 无匹配 (second / second)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\components\Crontab\week.vue","6030","f0021871f950a8767175494931da5915","缺失","","stem 无匹配 (week / week)"
