source,httpMethod,path,mappedPath,normalizedPath,legacyFile,legacyClass,status,appliedRule,matchedRoutes,reason
"fastify","PATCH","/:id","/:id","/:id","","","无需迁移","","PATCH /:id (tenant.ts:121)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/:id","/:id","/:id","","","无需迁移","","DELETE /:id (tenant.ts:138)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/:id/members","/:id/members","/:id/members","","","无需迁移","","GET /:id/members (tenant.ts:158)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/:id/members","/:id/members","/:id/members","","","无需迁移","","POST /:id/members (tenant.ts:175)","当前仓库新增端点(无 Java 对应)"
"fastify","PATCH","/:id/members/:userId","/:id/members/:userId","/:id/members/:userid","","","无需迁移","","PATCH /:id/members/:userId (tenant.ts:205)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/:id/members/:userId","/:id/members/:userId","/:id/members/:userid","","","无需迁移","","DELETE /:id/members/:userId (tenant.ts:225)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/:id/quota","/:id/quota","/:id/quota","","","无需迁移","","GET /:id/quota (tenant.ts:236)","当前仓库新增端点(无 Java 对应)"
"fastify","PATCH","/:id/quota","/:id/quota","/:id/quota","","","无需迁移","","PATCH /:id/quota (tenant.ts:260)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","${PREFIX}/submit","${PREFIX}/submit","$:prefix/submit","","","无需迁移","","POST ${PREFIX}/submit (tencent-hunyuan-3d.ts:166)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","${PREFIX}/query","${PREFIX}/query","$:prefix/query","","","无需迁移","","POST ${PREFIX}/query (tencent-hunyuan-3d.ts:301)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","${PREFIX}/job/:job_id","${PREFIX}/job/:job_id","$:prefix/job/:job_id","","","无需迁移","","GET ${PREFIX}/job/:job_id (tencent-hunyuan-3d.ts:372)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","${PREFIX}/admin/clear-cache","${PREFIX}/admin/clear-cache","$:prefix/admin/clear-cache","","","无需迁移","","POST ${PREFIX}/admin/clear-cache (tencent-hunyuan-3d.ts:439)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","${PREFIX}/admin/active-jobs","${PREFIX}/admin/active-jobs","$:prefix/admin/active-jobs","","","无需迁移","","GET ${PREFIX}/admin/active-jobs (tencent-hunyuan-3d.ts:458)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/","/","/","","","无需迁移","","GET / (tools.ts:54)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/:id","/:id","/:id","","","无需迁移","","GET /:id (tools.ts:86)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/","/","/","","","无需迁移","","POST / (tools.ts:97)","当前仓库新增端点(无 Java 对应)"
"fastify","PATCH","/:id","/:id","/:id","","","无需迁移","","PATCH /:id (tools.ts:107)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/:id","/:id","/:id","","","无需迁移","","DELETE /:id (tools.ts:126)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/:id/favorite","/:id/favorite","/:id/favorite","","","无需迁移","","POST /:id/favorite (tools.ts:137)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/:id/favorite","/:id/favorite","/:id/favorite","","","无需迁移","","DELETE /:id/favorite (tools.ts:163)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/debug/timeout","/debug/timeout","/debug/timeout","","","无需迁移","","POST /debug/timeout (tools.ts:210)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/debug/exception","/debug/exception","/debug/exception","","","无需迁移","","POST /debug/exception (tools.ts:255)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/debug/log","/debug/log","/debug/log","","","无需迁移","","POST /debug/log (tools.ts:299)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/","/","/","","","无需迁移","","GET / (trader.ts:35)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/:id","/:id","/:id","","","无需迁移","","GET /:id (trader.ts:53)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/apply","/apply","/apply","","","无需迁移","","POST /apply (trader.ts:64)","当前仓库新增端点(无 Java 对应)"
