category,old_table,new_table,old_source,new_file,match_type,normalized_old,normalized_new
partial,t_member_company_member_relation,member_groups,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\member-extended.ts,business,member_company_member_relation,member_group
partial,t_member_company_type,member_groups,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\member-extended.ts,business,member_company_type,member_group
partial,t_member_level,edu_member_level_relations,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\member-extended.ts,prefix,member_level,member_level_relation
partial,t_member_post_member_relation,member_posts,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\member-extended.ts,prefix,member_post_member_relation,member_post
partial,t_member_tag_member_relation,member_tags,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\member-extended.ts,prefix,member_tag_member_relation,member_tag
partial,t_order_payment,orders,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\billing.ts,prefix,order_payment,order
partial,t_paper_paper_category_relation,exam_papers,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,prefix,paper_paper_category_relation,paper
partial,t_paper_question,exam_papers,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,prefix,paper_question,paper
partial,t_paper_question_rule,exam_papers,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,prefix,paper_question_rule,paper
partial,t_point,edu_point_channels,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\point.ts,prefix,point,point_channel
partial,t_point_channel_relation,edu_point_channels,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\point.ts,prefix,point_channel_relation,point_channel
partial,t_question_and_category_relation,exam_questions,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,prefix,question_and_category_relation,question
partial,t_record_bak,exam_records,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,prefix,record_bak,record
partial,t_record_log,exam_records,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,prefix,record_log,record
partial,t_reply_comment,comments,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\comments.ts,business,reply_comment,comment
