source,legacyKey,normalizedKey,sourceFiles,status,matchedKeys,reason
"legacy","toggleColumns","toggle_columns","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","rightToolbar.toggleColumns","后缀匹配: .toggle_columns"
"legacy","columnDisplay","column_display","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","rightToolbar.columnDisplay","后缀匹配: .column_display"
"legacy","dialogTitle","dialog_title","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","admin.edu.exam.grades.dialogTitle | admin.eduClassMembers.dialogTitle | rightToolbar.dialogTitle","后缀匹配: .dialog_title"
"legacy","show","show","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","login.password.show | rightToolbar.show | adminCommon.label.show","后缀匹配: .show"
"legacy","hide","hide","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","login.password.hide | rightToolbar.hide | adminCommon.label.hide","后缀匹配: .hide"
"legacy","tip","tip","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.tip","精确匹配: tip"
"legacy","preview","preview","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","admin.eduCertTemplate.preview | settings.auditExport.preview | docs.markdown.preview","后缀匹配: .preview"
"legacy","formatError","format_error","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","imageUpload.formatError","后缀匹配: .format_error"
"legacy","filenameComma","filename_comma","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","imageUpload.filenameComma","后缀匹配: .filename_comma"
"legacy","sizeLimit","size_limit","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","imageUpload.sizeLimit","后缀匹配: .size_limit"
